Price,Close,High,Low,Open,Volume,MA5,MA20,Return,Volatility,Target
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,
Date,,,,,,,,,,
2020-01-30,77.99821472167969,78.0511980258145,76.76515675229342,77.19624784731732,126743200,76.73675537109375,75.14835662841797,-0.0014493728939822814,0.016488086017225494,74.53992462158203
2020-01-31,74.53992462158203,77.7116783691715,74.24610924837872,77.29022231291486,199588400,76.31289520263672,75.25865859985352,-0.044338067383181023,0.04649279078811102,74.33516693115234
2020-02-03,74.33516693115234,75.49838164593486,72.78420907837199,73.285136141255,173788400,76.29892425537109,75.39388504028321,-0.0027469532799929697,0.03651263163337856,76.78925323486328
2020-02-04,76.78925323486328,76.97951249486786,75.53211041551288,75.93670624597806,136616400,76.35479736328125,75.62327766418457,0.03301379959210782,0.018849018819443973,77.41543579101562
2020-02-05,77.41543579101562,78.21258898353346,76.81335589638837,77.91395235806485,118826800,76.2155990600586,75.90095596313476,0.008154559782436399,0.018074342317497855,78.32097625732422
2020-02-06,78.32097625732422,78.32338692930988,77.12886221236752,77.68518356993593,105425600,76.2801513671875,76.16611289978027,0.011697156478626791,0.015251657653215825,77.25636291503906
2020-02-07,77.25636291503906,78.06989154294402,76.76631409771366,77.82124622907054,117684000,76.82343902587891,76.30049133300781,-0.013592952911967826,0.016873399109713975,77.623291015625
2020-02-10,77.623291015625,77.623291015625,75.7644885208781,75.8441484328751,109348800,77.48106384277344,76.4447868347168,0.00474948711977885,0.02394645306101146,77.15497589111328
2020-02-11,77.15497589111328,78.19059906005786,76.9377141953968,78.11818095050265,94323200,77.55420837402343,76.48583106994629,-0.0060331779081287396,0.0162385491044574,78.98721313476562
2020-02-12,78.98721313476562,78.99203855171046,77.60396869052254,77.60396869052254,113730400,77.86856384277344,76.67002487182617,0.023747492919162116,0.017573348977633206,78.42476654052734
2020-02-13,78.42476654052734,78.75066279160559,78.0578358133656,78.26061390209061,94747600,77.88932189941406,76.84223327636718,-0.007120729696826422,0.008834288054679285,78.44407653808594
2020-02-14,78.44407653808594,78.6927218682662,77.93712767417983,78.39337649475979,80113600,78.12686462402344,76.9684440612793,0.0002462232074176285,0.00963226578006201,77.0077133178711
2020-02-18,77.0077133178711,77.1887659353896,75.94794846047884,76.12900107799734,152531200,78.00374908447266,76.98081016540527,-0.01831066517198998,0.016112898584443498,78.12299346923828
2020-02-19,78.12299346923828,78.3523297233802,77.24911404532844,77.24911404532844,93984000,78.19735260009766,77.07495079040527,0.014482707034340292,0.01412152337053183,77.32152557373047
2020-02-20,77.32152557373047,78.37163210197758,76.81699322453267,77.88399976313329,100566000,77.86421508789063,77.11541175842285,-0.01025905255183801,0.020106158872440754,75.57136535644531
2020-02-21,75.57136535644531,77.35775721221363,74.95578935685651,76.91598466630131,129554000,77.29353485107421,77.04994087219238,-0.022634838155337178,0.03178410028756025,71.98169708251953
2020-02-24,71.98169708251953,73.43011814732492,69.8211400810818,71.75960997813098,222195200,76.00105895996094,76.816064453125,-0.04750037606168023,0.05013744066225345,69.54351806640625
2020-02-25,69.54351806640625,73.03180163978591,69.07278565467855,72.65038734565039,230673600,74.50821990966797,76.57298927307129,-0.03387220800473989,0.05692861240248071,70.64673614501953
2020-02-26,70.64673614501953,71.90927916190874,69.16210602316792,69.16934783382864,198054800,73.01296844482422,76.27983169555664,0.01586370821159533,0.03888605884214639,66.02867126464844
2020-02-27,66.02867126464844,69.0413890764873,65.89348591735909,67.85851360418104,320605600,70.75439758300782,75.67569389343262,-0.06536841094670531,0.04767479185687624,65.99006652832031
2020-02-28,65.99006652832031,67.20915879544067,61.88862284247871,62.10347552395671,426510000,68.83813781738282,75.07528648376464,-0.0005846662607126296,0.0806263159422426,72.13377380371094
2020-03-02,72.13377380371094,72.76866613954134,67.04257525684778,68.14337454443714,341397200,68.8685531616211,74.9549789428711,0.09310048615807931,0.07938155153611241,69.84285736083984
2020-03-03,69.84285736083984,73.38665871766685,68.99311238709194,73.3069988099028,319475600,68.92842102050781,74.73036346435546,-0.031759276162440786,0.0629061653058645,73.0824966430664
2020-03-04,73.0824966430664,73.24182384454771,70.76261243598904,71.56165746891385,219178400,69.41557312011719,74.54502563476562,0.046384689925973666,0.03392346351640246,70.7119140625
2020-03-05,70.7119140625,72.31241302487865,70.34739243241086,71.33955724756618,187572800,70.3522216796875,74.20984954833985,-0.03243707713139976,0.02778910199957218,69.77288055419922
2020-03-06,69.77288055419922,70.20499505069894,67.88993546579478,68.07581358123565,226176800,71.10878448486328,73.78244476318359,-0.013279707115137596,0.033179934188123934,64.25436401367188
2020-03-09,64.25436401367188,67.13188921300795,63.48911178224734,63.67016438238683,286744800,69.53290252685547,73.13234481811523,-0.07909257145031567,0.05669307426318171,68.88208770751953
2020-03-10,68.88208770751953,69.14763308452109,65.0268727397902,66.90258302825225,285290000,69.3407485961914,72.69528465270996,0.07202193601765283,0.05982339504905916,66.4897689819336
2020-03-11,66.4897689819336,67.88749740945617,65.62795665733853,66.96292517997638,255598800,68.02220306396484,72.16202430725097,-0.03473063615237637,0.033983284747636885,59.92359161376953
2020-03-12,59.92359161376953,65.17894700154001,59.86806983845157,61.784814276675704,418474000,65.86453857421876,71.20884323120117,-0.0987547026964134,0.08862748410207247,67.1029281616211
2020-03-13,67.1029281616211,67.57366791219874,61.06301183278901,63.94537376560975,370732000,65.33054809570312,70.64275131225585,0.1198081816277825,0.0970249176567744,58.47035217285156
2020-03-16,58.47035217285156,62.54282496971143,57.9368487366503,58.40758489593045,322423600,64.17374572753906,69.64406509399414,-0.12864678524873752,0.07877455944586804,61.041290283203125
2020-03-17,61.041290283203125,62.1879532458274,57.55059398806874,59.74978006097213,324056000,62.605586242675784,68.84574394226074,0.04396994399403109,0.07597085900778762,59.5469970703125
2020-03-18,59.5469970703125,60.350871115595204,57.24159305699179,57.88131450093201,300233600,61.21703186035156,67.91694412231445,-0.024480039756004546,0.05221553078372719,59.09075164794922
2020-03-19,59.09075164794922,61.03646337436918,58.56690646649194,59.72081496454535,271857200,61.0504638671875,67.00540542602539,-0.007661938381620659,0.041792612870967624,55.3393440246582
2020-03-20,55.3393440246582,60.79264863512061,55.04000233501268,59.67012006159394,401693200,58.69774703979492,65.99380435943604,-0.06348552893084092,0.10395219534125037,54.1636962890625
2020-03-23,54.1636962890625,55.1606938155284,51.3247927605554,55.059304798459365,336752800,57.83641586303711,65.10290431976318,-0.021244338116329198,0.07082051849824732,59.59770584106445
2020-03-24,59.59770584106445,59.793242114858536,56.56084893172045,57.05813962396852,287531200,57.547698974609375,64.6056137084961,0.1003256779781343,0.054236872670204,59.26938247680664
2020-03-25,59.26938247680664,62.3424476958278,58.97486994131572,60.53192162528101,303602000,57.4921760559082,64.03674602508545,-0.005508993334968126,0.05681816839967732,62.38832092285156
2020-03-26,62.38832092285156,62.446255405203736,59.472166210481355,59.51079165439952,252087200,58.15168991088867,63.8547285079956,0.052623096710437745,0.047670608067816,59.80530548095703
2020-03-27,59.80530548095703,61.767913466106,59.638736473627105,61.01473571142301,204216800,59.044882202148436,63.545490455627444,-0.041402227270848524,0.035601807822164884,61.512027740478516
2020-03-30,61.512027740478516,61.68342585318123,60.206033868463194,60.529517371062305,167976400,60.51454849243164,63.01440315246582,0.028537974111091824,0.024017936637550023,61.386497497558594
2020-03-31,61.386497497558594,63.366005560924876,60.833685075362965,61.70273919270683,197002000,60.87230682373047,62.59158515930176,-0.0020407430470271715,0.04125207641407826,58.156517028808594
2020-04-01,58.156517028808594,60.041877740721404,57.726819101176545,59.50596168562525,176218400,60.64973373413086,61.845286178588864,-0.05261711614803333,0.03980738114694977,59.1269645690918
2020-04-02,59.1269645690918,59.18007364013517,57.1884945265853,58.018923255417455,165934000,59.99746246337891,61.266038703918454,0.016686823590251754,0.0336830941358852,58.27721405029297
2020-04-03,58.27721405029297,59.3128333420279,57.688188979235456,58.61276473473643,129880000,59.6918441772461,60.69125537872314,-0.01437162426638472,0.027877865976750096,63.36117935180664
2020-04-06,63.36117935180664,63.51567376682207,60.201208300554335,60.568138982385115,201820400,60.06167449951172,60.646596145629886,0.08723761738380698,0.05231066561852478,62.6273078918457
2020-04-07,62.6273078918457,65.58933353543772,62.52350615550967,65.3720644929947,202887200,60.30983657836914,60.33385715484619,-0.011582351646047928,0.04895352336112833,64.23023986816406
2020-04-08,64.23023986816406,64.54406151460887,63.061847651130236,63.42636197678972,168895200,61.52458114624024,60.22088069915772,0.0255947769475664,0.023076573690538223,64.6937255859375
2020-04-09,64.6937255859375,65.19584902236409,63.89951332637289,64.86512738575412,161834800,62.637933349609376,60.459387397766115,0.007216004777885976,0.02003804363174566,65.9635009765625
2020-04-13,65.9635009765625,66.07213548949194,64.17228391165321,64.77096719479518,131022800,64.17519073486328,60.40241603851318,0.01962748905128775,0.02880155767526299,69.29488372802734
2020-04-14,69.29488372802734,69.58457092501276,67.12225185179103,67.59299170512948,194994800,65.36193161010742,60.94364261627197,0.05050342541170627,0.0355339231520465,68.66239929199219
2020-04-15,68.66239929199219,69.12106449233013,67.7450688913163,68.17235045630129,131154400,66.56894989013672,61.32469806671143,-0.009127433397789764,0.020040016300075864,69.2079849243164
2020-04-16,69.2079849243164,69.57250664535655,68.16029439249986,69.3745539645896,157125200,67.56449890136719,61.80774745941162,0.007945915638690071,0.020405336962216712,68.2688980102539
2020-04-17,68.2688980102539,69.27072829912615,66.83496081662895,68.72515410233876,215250000,68.27953338623047,62.26665477752685,-0.013569054424709126,0.03567902153820249,66.85186004638672
